Word,Meaning,Example,Note,Tag,Source,Date
implicit,suggested or understood without being stated directly (암시적인),He interpreted her comments as an implicit criticism of the government.,,,,"October 21, 2022 3:34 AM"
in a nutshell,"한마디로, 간단하면서도 명백하게 말하여 ",That’s pretty much the problem in a nutshell.,,,,"October 21, 2022 3:34 AM"
explicit,expressed in a way that is very clear and direct (명백한),I gave her very explicit directions how to get here.,,,,"October 21, 2022 3:34 AM"
reveal,"to make known or show something that is surprising or that was previously secret. (숨겨져 있던 사실 등을 밝히다, 폭로하다)",He would not reveal where he had hidden her chocolate eggs.,,,,"October 21, 2022 3:35 AM"
hands on,"실제의, 실지의",Many employers consider hands-on experience to be as useful as academic qualifications.,,,,"October 21, 2022 3:35 AM"
hangover,a pain in your head and a feeling of sickness that you get the day after you have drunk too much alcohol,I had a terrible hangover the next morning,알콜을 너무 많이 하여 머리가 아픈상태,,,"October 21, 2022 3:39 AM"
anniversary,date on which something special or important happened in a previous year (기념일),We always celebrate our wedding anniversary with dinner in an expensive restaurant.,,,,"October 21, 2022 3:39 AM"
as a result of,as a consequence of or due to,,,,,"October 21, 2022 3:39 AM"
thus,therefore or hence,,,,,"October 21, 2022 3:40 AM"
clime in,feel free to chime in the chat as we move along. Can I just chime in for a moment?,,,,,"October 21, 2022 3:41 AM"
get object out of the way,Let's get ... out of the way first. Let me get a few things out of the way first. Let's get the obvious stuff out of the way first.,,,,,"October 21, 2022 3:42 AM"
pinpoint,"(figure out), to locate or aim with great precision or accuracy, to fix, determine, or identify with precision",It's hard to pinpoint just one thing,,,,"October 21, 2022 3:44 AM"
takeaway,,,,,,"October 21, 2022 3:45 AM"
aim for,shoot for,We are aiming for sometime in May.,,,,"October 21, 2022 3:45 AM"
gravity,I don't think you get the gravity of the situation. I tend to gravitate towards healthy food.,,,,,"October 21, 2022 3:45 AM"
laser-focus,"Intensely paying attention to a single object, concept, person, or activity to the exclusion of everything else.",I need you to be laser-focused on this deal.,,,,"October 21, 2022 3:46 AM"
